Unnamed: 0,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,sellingGeneralAdministrative,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,deferredLongTermLiab,goodWill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,class,start_price,end_price,percentage_change,binary,sector,dilutedEPS,marketPricePerShare,PE_ratio,ROE,ROCE,grossProfitMargin,netProfitMargin,coverageRatio,currentRatio,quickRatio,debtToEquityRatio,totalAssetTurnover,ROA
PSAB.jk,106857920,57261056,115742966,29156544,10009183,-34134049,49992277,15292905,15292905,19147361,57261056,2.85665E+11,48487668,165339830,-28104512,222600886,21884342,102481975,14739508,58830001,1.4E+11,1.4E+11,31498025,340658,65777235,247929529,4.71266E+12,49992277,5314124,288033783,1952908,30905909,7710833,119292725,-3240503,761293948,161800993,47823905,6.62216E+11,915784613,120699074,170536805,545919870,319872466,-3240503,TRUE,179,202,0.12849162,1,basic_materials,0,212.0730769,9343.202772,0.047809382,0.07683492,0.519957346,0.068701007,-1.677534827,0.707759677,168.7540784,0.924597974,0.243071223,0.016699238
PTBA.jk,1.25E+13,6.22E+12,8.69E+12,6.8E+12,1.68E+12,-1.04E+11,2.55E+11,5.02E+12,5.02E+12,5.12E+12,6.22E+12,-1.93E+11,2.66E+12,1.49E+13,5.75E+11,2.12E+13,1.05E+12,30486000000,6.3E+12,1.15E+12,7.25E+11,1.4E+11,1.02E+11,1.4E+11,1.55E+12,2.33E+11,2.62E+12,2.55E+11,2.52E+12,1.59E+13,1.6E+12,4.53E+11,5.49E+11,2.51E+12,3.2E+11,8.43E+12,1.68E+13,31901000000,3.24E+11,2.42E+13,1.14E+13,4.94E+12,7.9E+12,1.6E+13,-1.98E+12,TRUE,1455.639282,2800.760986,0.92407626,1,energy,477,3807.230769,7.981615868,0.31375,0.322949117,0.40990566,0.236792453,-59.80769231,2.307692308,1.851012146,0.016556313,0.876033058,0.207438017
PTPP.jk,2.16E+13,2.33E+12,3.47E+12,2.81E+12,8.54E+11,-7.6E+11,3.55E+12,1.5E+12,1.5E+12,1.96E+12,2.33E+12,64366117108,8.43E+11,2.28E+13,4.84E+11,2.51E+13,1.96E+13,4.71E+12,8.65E+12,6.2E+11,124704499,1.4E+11,2.92E+11,76096359433,4.66E+12,8.03E+12,2.49E+12,3.55E+12,2.22E+13,1.24E+13,4.47E+12,1.92E+12,2.23E+12,1.31E+12,2.16E+12,7.69E+12,5.27E+12,1.23E+12,1.4E+11,5.25E+13,3.75E+13,2.66E+13,3.62E+13,1.28E+13,2.16E+12,FALSE,2425.874756,1694.377075,-0.301539755,-1,infrastructures,242,2254.269231,9.315162112,0.1171875,0.08996139,0.138247012,0.059760956,-3.065789474,1.409774436,1.165037594,0.7234375,0.478095238,0.028571429
PWON.jk,3E+12,3.46E+12,4.09E+12,3.24E+12,4.1E+11,-2.43E+11,2.72E+12,2.54E+12,2.54E+12,2.83E+12,3.46E+12,46564516000,5.8E+11,3.62E+12,-2.22E+11,7.08E+12,2.96E+11,3.62E+11,4.46E+12,1.2E+12,58323149000,1.4E+11,1.4E+11,1.4E+11,3.58E+12,4.93E+12,73835103000,2.72E+12,5.32E+11,1.26E+13,1.37E+13,7.42E+11,2.93E+12,6.76E+11,11343726000,1.73E+12,1.1E+13,6.47E+11,15000000000,2.5E+13,9.47E+12,4.1E+12,9.71E+12,1.26E+13,11343726000,FALSE,664.5733032,608.399231,-0.084526526,0,properties_realestate,52.8,582.8538462,11.0388986,0.201587302,0.165550239,0.577683616,0.358757062,-14.23868313,2.309756098,1.221219512,0.442619048,0.2832,0.1016
RAJA.jk,97780080,6224827,20327964,15068487,2634609,-5518401,39949150,11431532,11431532,12433878,6224827,1911803,11638381,111883217,8843660,118108044,7856272,23215570,20036856,10964473,1267380,658976,21435629,11692007,148194,40000000,5986767,39949150,39143061,58678438,27674968,7540651,2979504,1315098,6517385,57446007,51108646,6488592,1.4E+11,191104140,66868762,17833522,59348916,91806074,6517385,TRUE,250.7975159,272.7347107,0.087469745,1,energy,0,544.1192308,9343.202772,0.124518254,0.035925462,0.17211329,0.096788767,-1.128012807,3.749610537,7853.702702,0.506378173,0.618029751,0.059818338
RALS.jk,3.41E+12,5.8E+11,2.33E+12,7.17E+11,1.3E+11,-35627000000,1.6851E+12,5.87E+11,5.87E+11,5.87E+11,5.8E+11,27492000000,1.72E+12,5.16E+12,1.37E+11,5.74E+12,9.09E+11,1.32E+11,1.95E+12,3.55E+11,51349000000,1.4E+11,1.4E+11,12217000000,8.6E+11,1.4E+11,1.4E+11,1.4E+11,37775000000,3.82E+12,5.09E+11,1.52E+11,1.05E+11,3.22E+11,-49768000000,1.16E+12,3.73E+12,1.4E+11,5.51E+11,5.24E+12,3.56E+12,1.09E+12,1.42E+12,3.83E+12,-3.9E+11,TRUE,1003.870178,1220.796509,0.216090024,1,consumer_cylicals,87.33,1305.846154,14.9530076,0.153263708,0.139759036,0.405923345,0.102264808,-16.2797878,3.266055046,2.329151376,0.07310705,1.095419847,0.112022901
SCMA.jk,2.37E+12,1.84E+12,2.91E+12,1.94E+12,4.66E+11,-3398533000,6.45E+11,1.48E+12,1.48E+12,1.48E+12,1.84E+12,5893177000,1.06E+12,3.44E+12,1.01E+11,5.28E+12,3.8E+11,2.79E+11,9.94E+11,7.31E+11,2.9425E+11,1.4E+11,5.94E+11,6.93E+11,9.56E+11,4.97272E+12,1.51E+11,6.45E+11,1.69E+12,3.52E+12,2.87E+11,97815474000,2.68E+11,2.18E+11,2.45E+11,1.07E+12,3.55E+12,14716000000,6.62216E+11,6.59E+12,3.79E+12,9.2E+11,1.14E+12,4.81E+12,2.45E+11,FALSE,457.8332825,354.8070679,-0.22502998,-1,consumer_cylicals,20.31,444.4538462,21.88349809,0.307692308,0.324514991,0.551136364,0.28030303,-541.4100731,4.119565217,168.7540784,3.22391249,0.801213961,0.224582701
SIDO.jk,1.34E+12,8.16E+11,1.42E+12,8.68E+11,2.04E+11,-30000000,7000000,6.64E+11,6.64E+11,6.64E+11,8.16E+11,-8665000000,6.17E+11,1.95E+12,51537000000,2.76E+12,1.82E+11,7.06E+11,8.06E+11,1.5E+12,59358000000,1.4E+11,91366000000,48505000000,3.11E+11,1.4E+11,1.4E+11,7000000,4.16E+11,2.76E+12,1.01E+11,1803000000,83609000000,66634000000,1.4E+11,1.55E+12,7.55E+11,1.4E+11,1.4E+11,3.34E+12,1.54E+12,3.68E+11,4.35E+11,2.9E+12,-59279000000,TRUE,208.5135803,339.0186462,0.625882812,1,healthcare,22.13,383.7244928,17.33956136,0.228965517,0.274562584,0.514492754,0.24057971,-27200,4.184782609,3.701086957,0.096551724,0.826347305,0.198802395
SIMP.jk,1.18E+13,9.04E+11,2.29E+12,2.28E+11,4.06E+11,-7.38E+11,3.42E+12,-76566000000,-76566000000,-1.78E+11,9.04E+11,14995000000,1.37E+12,1.32E+13,-6.76E+11,1.41E+13,8.82E+11,2.5E+12,2.07E+12,3.16E+12,1.11E+12,91921000000,2.34E+12,1.4E+11,2.43E+12,4.65E+12,1.02E+12,3.42E+12,1.39E+12,1.25E+13,4.26E+12,1.08E+12,5.25E+11,3.94E+12,62259000000,2.01E+13,9.4E+12,1E+12,1.4E+11,3.47E+13,6.99E+12,7.79E+12,1.64E+13,1.49E+13,-1.99E+11,TRUE,440.0743103,444.1414795,0.009242005,0,consumer_noncylicals,-5,514.1615385,-102.8323077,-0.005138658,0.03359346,0.162411348,-0.005430213,-1.224932249,0.897304236,0.462130937,0.379194631,0.406340058,-0.002206513
SMBR.jk,1.31E+12,2.6E+11,6.87E+11,1.45E+11,69281988000,-1.17E+11,36324000,76071973000,76071973000,76074721000,2.6E+11,-12018199000,4.39E+11,1.74E+12,-1.15E+11,2E+12,4.62E+11,1.27E+12,4.66E+11,9.93E+11,2.9425E+11,1.4E+11,1.4E+11,78506745000,2.91E+11,1.26E+12,25000000,36324000,4.89E+11,3.4E+12,88658915000,1.04E+11,6544195000,98224465000,-47053530000,4.01E+12,1.26E+12,59241272000,1.4E+11,5.54E+12,1.36E+12,6.36E+11,2.06E+12,3.47E+12,-47053530000,FALSE,3779.275146,1742.479736,-0.538938111,-1,basic_materials,8,2944.365385,368.0456731,0.021922759,0.053017945,0.3435,0.038035987,-2.222222222,2.13836478,1.721698113,0.380184805,0.36101083,0.013731403
