Unnamed: 0,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,researchDevelopment,sellingGeneralAdministrative,totalOperatingExpenses,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,deferredLongTermLiab,goodWill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherCurrentAssets,otherCurrentLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,start_price,end_price,percentage_change,binary,sector,dilutedEPS,marketPricePerShare,PE_ratio,ROE,ROCE,grossProfitMargin,netProfitMargin,coverageRatio,currentRatio,quickRatio,debtToEquityRatio,totalAssetTurnover,ROA
PPRE.JK,3E+12,4.09E+11,5.62E+11,1.95E+11,11195107346,2.14E+11,8.07E+11,99122888330,99122888330,1.84E+11,3.92E+11,98519162694,42135602046,2.16191E+12,1.7E+11,3.56E+12,1.46E+12,7.5E+11,3.06E+11,1.02E+12,2.0172E+11,4.44527E+11,2.47E+11,2959290698,1.54E+11,3.9E+11,1.63E+11,8.07E+11,58998832,2.09E+12,1.47951E+11,2.00298E+11,6.22499E+11,2.15E+12,4.57E+11,1.62E+12,5.92581E+11,7.59E+12,4.9E+12,3.8E+12,4.44E+12,2.34E+12,18629958023,173.1836978,124,-0.283997272,-1,infrastructures,139.2172174,154.4430894,-21322.37611,0.042360209,0.107915567,0.157865169,0.027843508,1.911214953,1.289473684,1375.469496,0.858974359,0.469038208,0.013059669
PSAB.JK,49869239,11849116,50402427,-12064527,3973736,23913643,79434396,10260488,-21819489,-16038263,-241590,7282946,42135602046,16432217,50644017,100271666,13652203,102481975,6252890,58830001,2.0172E+11,4.44527E+11,10048411,127064,46438045,129520778,1.93645E+12,79434396,3.92E+12,291343664,1.47951E+11,73839,2124832,680059485,139205395,152019441,421053,808230079,102249663,220537658,427276544,301519139,3.22181E+11,145,107,-0.262068966,-1,basic_materials,139.2172174,122.5528455,-21322.37611,0.034029309,0.020162104,0.502658717,0.102326893,0.495496065,0.46363811,17774.77239,0.933739132,0.124063269,0.012695009
PTBA.JK,2.55E+13,1.63E+13,1.71E+13,1.62E+13,3.42E+12,1.4E+11,2.11E+11,1.26E+13,1.26E+13,1.28E+13,1.37E+13,59741000000,42135602046,1.44E+12,3.4E+12,4.26E+13,1.94E+12,5.94E+11,7.03E+12,1.15E+12,9.17E+11,4.44527E+11,1.02E+11,3.23749E+12,3.84E+12,0,6.54E+12,2.11E+11,207525,2.86E+13,91716000000,1.02E+11,6.22499E+11,1.13E+13,1.26E+13,2240000000,9.71E+12,4.54E+13,2.44E+13,1.07E+13,1.64E+13,2.87E+13,43257000000,2264.438489,3690,0.629543049,1,energy,139.2172174,3728.577236,-21322.37611,0.43902439,0.469740634,0.401408451,0.295774648,116.4285714,2.280373832,1.564486001,7.80E-05,0.938325991,0.27753304
PTPP.JK,1.64E+13,1.79E+12,2.57E+12,3.91E+11,23203922191,1.4E+12,1.53174E+12,2.78E+11,2.78E+11,3.67E+11,1.56E+12,2.19E+11,42135602046,2.86E+11,1.01E+12,1.9E+13,1.74568E+12,3.06895E+12,1.45519E+13,1.94657E+12,2.0172E+11,4.44527E+11,6.32205E+11,3.23749E+12,3.76203E+12,5.004E+12,1.93645E+12,1.53174E+12,3.51E+12,2.03863E+13,1.47951E+11,2.00298E+11,6.22499E+11,1.0134E+13,1.51991E+13,2.26504E+12,5.92581E+11,1.13637E+14,9.59431E+12,6.51116E+12,8.9552E+13,2.26819E+13,3.22181E+11,995,715,-0.281407035,-1,infrastructures,139.2172174,929.3089431,-21322.37611,0.16700253,0.158222016,0.135263158,0.014631579,1.278571429,2.382038512,1375.469496,0.798753574,0.657592183,0.064947536
PWON.JK,2.77E+12,2.17E+12,3.22E+12,1.84E+12,8926300000,3.27E+11,3.41E+12,1.54E+12,1.54E+12,1.83E+12,2.6E+12,10235059000,42135602046,2.79E+11,6.17E+11,5.99E+12,2.13E+11,3.62E+11,7.44E+12,1.2E+12,53158577000,4.44527E+11,6.32205E+11,3.23749E+12,3.78E+12,6.25E+12,0,3.41E+12,0,1.73E+13,1.47951E+11,1000,13512486000,2.35E+12,1.58E+13,0,5.92581E+11,3.06E+13,1.23E+13,2.63E+12,9.88E+12,1.73E+13,3.22181E+11,459.8198315,456,-0.008307235,0,properties_realestate,31.95,473.9268293,14.83339059,0.089017341,0.077583125,0.537562604,0.257095159,6.636085627,4.676806084,1375.469496,0.361271676,0.195751634,0.050326797
RAJA.JK,101627297,15729936,25058791,13023880,2184537,2706056,24446999,6742045,8821573,10839343,11022253,2025681,42135602046,3513601,14036538,126686088,10800446,23231955,30103102,10964473,1953772,129171,24704291,9256807,753355,97839148,11982283,24446999,2.29E+11,74647535,1.47951E+11,2.00298E+11,5498483,145201416,68895574,12069670,5.92581E+11,260504575,58598231,26985368,127448943,108608633,3.22181E+11,178.3703909,1045,4.858595673,1,energy,139.2172174,621.6504065,-21322.37611,0.062076511,0.067360352,0.197802232,0.053218511,5.812864183,2.171481634,1375.469496,1.011971286,0.486310415,0.025880716
RALS.JK,1.52E+12,4.77E+11,1.92E+12,4.45E+11,78876000000,32133000000,1.53174E+12,3.66E+11,3.66E+11,3.66E+11,5.35E+11,1.65E+11,42135602046,3.32E+11,1.38E+12,3.44E+12,1.74568E+12,3.06895E+12,1.45519E+13,1.94657E+12,2.0172E+11,4.44527E+11,6.32205E+11,3.23749E+12,3.76203E+12,5.004E+12,1.93645E+12,1.53174E+12,20764817,2.03863E+13,1.47951E+11,2.00298E+11,6.22499E+11,1.0134E+13,1.51991E+13,2.26504E+12,5.92581E+11,1.13637E+14,9.59431E+12,6.51116E+12,8.9552E+13,2.26819E+13,3.22181E+11,626.1029412,570,-0.089606577,0,consumer_cylicals,139.2172174,616.7682927,-21322.37611,0.16700253,0.158222016,0.558139535,0.106395349,14.84455233,2.382038512,1375.469496,0.798753574,0.657592183,0.064947536
SCMA.JK,3.55E+12,1.45E+12,2.94E+12,1.41E+12,4.18E+11,38814312000,1.53174E+12,1.11E+12,1.11E+12,9.93E+11,1.42E+12,2.12E+11,42135602046,2.88E+11,1.52E+12,6.49E+12,1.74568E+12,3.06895E+12,1.45519E+13,1.94657E+12,2.0172E+11,4.44527E+11,6.32205E+11,3.23749E+12,3.76203E+12,5.004E+12,1.93645E+12,1.53174E+12,0,2.03863E+13,1.47951E+11,2.00298E+11,6.22499E+11,1.0134E+13,1.51991E+13,2.26504E+12,5.92581E+11,1.13637E+14,9.59431E+12,6.51116E+12,8.9552E+13,2.26819E+13,3.22181E+11,322.0436811,206,-0.360335221,-1,consumer_cylicals,139.2172174,242.203252,-21322.37611,0.16700253,0.158222016,0.453004622,0.171032357,37.35735416,2.382038512,1375.469496,0.798753574,0.657592183,0.064947536
SIDO.JK,1.7E+12,1.42E+12,2.16E+12,1.42E+12,3.15E+11,642000000,7000000,1.1E+12,1.1E+12,1.1E+12,1.37E+12,-55000000,42135602046,5.15E+11,7.88E+11,3.87E+12,2.09E+11,6.52E+11,9.23E+11,1.5E+12,47971000000,4.44527E+11,91366000000,37925000000,5.43E+11,5.004E+12,1.93645E+12,7000000,0,3.38E+12,1.47951E+11,2.00298E+11,6.22499E+11,1.62E+12,1.03E+12,2.26504E+12,5.92581E+11,4.08E+12,2.19E+12,5.41E+11,5.76E+11,3.51E+12,0,805.8480225,734.0783081,-0.089061104,0,healthcare,139.2172174,1241.747967,-21322.37611,0.313390313,0.401243289,0.558139535,0.284237726,2211.838006,4.04805915,1375.469496,0.798753574,0.948529412,0.269607843
SIMP.JK,1.31E+13,3.01E+12,4.65E+12,2.4E+12,8.87E+11,6.11E+11,4.33E+12,1.2E+12,1.2E+12,1.51E+12,3.5E+12,1.64E+11,42135602046,5.63E+11,1.15E+12,1.78E+13,1.08E+12,2.5E+12,4.3E+12,3.16E+12,2.66E+11,43327000000,2.22E+12,6.31549E+11,4.04E+12,1.84E+12,1.37E+12,4.33E+12,6.89E+11,1.4E+13,1.47951E+11,2.00298E+11,-1.88E+11,1.94E+13,1.16E+13,6.69E+12,5.92581E+11,3.61E+13,1.04E+13,9.46E+12,1.49E+13,1.68E+13,2.61E+11,443.3872375,414,-0.066278943,0,consumer_noncylicals,139.2172174,461.2154472,-21322.37611,0.071428571,0.112987988,0.261235955,0.06741573,4.926350245,1.099365751,1375.469496,0.507738095,0.493074792,0.033240997
