Unnamed: 0,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,researchDevelopment,sellingGeneralAdministrative,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,deferredLongTermLiab,goodWill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,class,start_price,end_price,percentage_change,binary,sector,dilutedEPS,marketPricePerShare,PE_ratio,ROE,ROCE,grossProfitMargin,netProfitMargin,coverageRatio,currentRatio,quickRatio,debtToEquityRatio,totalAssetTurnover,ROA
MIKA.JK,1.67E+12,1.02E+12,1.53E+12,1E+12,2.13E+11,13588036784,4.97E+11,7.3E+11,7.3E+11,7.91E+11,9.17E+11,35656467664,55910386875,2.32E+11,6.33E+11,86966408984,3.21E+12,1.62E+11,1.36E+12,5.69E+11,1.42E+11,90765332099,1.4E+11,1.82E+11,13588036784,48505558844,2086374608,1.4E+11,-61274095847,5.14E+11,3.92E+12,3.37E+11,14018175186,87225460708,3.51E+11,27751486,2.61E+12,2.75E+12,2977126290,1.3E+12,5.58E+12,2.48E+12,4.31E+11,7.83E+11,4.3E+12,13534391898,TRUE,1504.947876,2575.38916,0.711281302,1,healthcare,51,2163.618677,42.42389563,0.169767442,0.198096718,0.476635514,0.22741433,75.0660317,5.754060325,5.52900232,0.001177558,0.575268817,0.130824373
MNCN.JK,3.03E+12,3.33E+12,5.32E+12,2.94E+12,5.87E+11,3.92E+11,8.96E+11,2.23E+12,2.23E+12,2.35E+12,3.26E+12,2.60449E+11,55910386875,9.6E+11,2.06E+12,-3.2E+11,8.35E+12,2.05E+11,2.6E+12,6.31E+11,1.43E+12,2.77E+11,3.21E+11,1.15E+12,3.92E+11,2.79E+12,2.86E+12,1.85E+12,-1.19E+11,3.3E+12,1E+13,1.08E+12,2.74E+11,47885000000,2.94E+11,22796000000,5.68E+12,1.07E+13,5.95E+11,1.4E+11,1.78E+13,7.64E+12,2.14E+12,5.31E+12,1.16E+13,-3.09E+12,TRUE,674.302063,1614.83728,1.394827732,1,consumer_cylicals,179.82,1124.883268,6.255607096,0.192241379,0.212643678,0.637125749,0.267065868,8.494897959,3.570093458,1.902336449,0.297844828,0.469101124,0.125280899
MPMX.JK,1.54E+13,7.15E+11,1.42E+12,6.86E+11,1.83E+11,29426000000,1.79E+11,4.33E+11,4.33E+11,5.03E+11,5.91E+11,3.01E+11,55910386875,1.75E+11,9.55E+11,1.43E+11,1.68E+13,8.22E+11,1.48E+12,1.83E+12,2.23E+12,1.02E+11,1.4E+11,7.65E+11,29426000000,5.53E+11,1.86E+11,1.11E+12,-33183000000,6.14E+11,6.28E+12,1.25E+12,27028000000,2.02E+11,3.56E+11,-18779000000,2.87E+12,3.42E+12,50364000000,36518000000,9.56E+12,3.52E+12,1.76E+12,2.3E+12,7.09E+12,-1.56E+11,TRUE,373.3549194,410.1013489,0.098422245,0,consumer_cylicals,101,899.6108949,8.907038563,0.061071932,0.091666667,0.08452381,0.02577381,24.29823965,2,1.409385227,0.033337659,1.757322176,0.045292887
MTDL.JK,1.39E+13,7.26E+11,1.21E+12,7.17E+11,1.82E+11,9434000000,9.44E+11,3.57E+11,3.57E+11,5.35E+11,7.07E+11,87858000000,55910386875,35825000000,5.02E+11,9880000000,1.51E+13,1.62E+12,1.83E+11,7.58E+11,1.23E+11,29119000000,1.4E+11,6.52784E+11,9434000000,1.56E+12,0,62182000000,-1.78E+11,2.24E+12,2.1E+12,2.47E+11,3.44E+11,3.41E+11,1.29E+11,4.11629E+11,3E+11,1.59E+12,1.44226E+12,1.4E+11,5.63E+12,5.02E+12,2.44E+12,2.58E+12,2.1E+12,1.68E+11,TRUE,159.3905334,351.7272949,1.206701285,1,technology,29,252.624031,8.711173483,0.17,0.227586207,0.08013245,0.023642384,76.95569218,2.057377049,1.286065574,3.457979056,2.682060391,0.063410302
MYOR.JK,1.71E+13,3.06E+12,7.92E+12,2.7E+12,6.65E+11,3.55E+11,2.37E+11,1.99E+12,1.99E+12,2.04E+12,3.17E+12,36748859704,47512672713,3.88E+12,4.7E+12,-4.68E+11,2.5E+13,1.31E+12,330005500,2.98E+12,4.47E+11,96055409948,1.4E+11,6.52784E+11,3.55E+11,2.79E+12,4.39E+12,1.4E+11,-51648794668,6.4E+12,9.66E+12,1.59E+12,5.63E+11,2.84E+11,1.03E+12,4.11629E+11,6.13E+12,9.17E+12,4.22E+11,1.4E+11,1.9E+13,1.28E+13,3.73E+12,9.14E+12,9.66E+12,-3965841884,FALSE,2468.664063,1954.442627,-0.208299478,-1,consumer_noncylicals,89,2429.379845,27.29640275,0.206004141,0.200392927,0.3168,0.0796,8.61971831,3.431635389,2.55227882,0.498136646,1.315789474,0.104736842
PGAS.JK,2621348716,449645632,1227368968,279902491,166921296,169743141,673434728,67584090,67584090,112981195,431462800,191496781,55910386875,170015382,724115191,-151560309,3848717684,260092040,-467574628,1040376489,344018831,126316157,1.4E+11,55376,169743141,70797779,2529045959,365897864,-45397105,822471646,2557040075,551317242,68002653,425430297,456441207,-44388833,4248020845,67584090,56994647,186360050,7373713156,2208551841,1123361297,4139412275,2560866153,-511963461,TRUE,1740.426636,1827.981812,0.050306732,0,energy,0.003,2171.92607,723975.3567,0.026391106,0.071939251,0.318903351,0.017560158,2.648976738,1.966020947,1.824175526,1.009830445,0.521951099,0.009165544
PNBN.JK,1.69E+11,2.63945E+12,9.16E+12,4.6E+12,1.1E+12,8.76E+12,3.07E+12,3.32E+12,3.32E+12,3.5E+12,4.47E+12,3.34E+11,55910386875,1.88E+12,4.87E+12,1.3E+11,1.01E+13,4.22E+11,3.44E+12,1.54E+13,2.41E+12,3.34698E+11,1.4E+11,6.52784E+11,4.69033E+11,2.95438E+12,5.84044E+12,1.5E+13,-1.81E+11,90364000000,4.12E+13,1.48E+14,1.37E+13,3.03E+12,1.99E+12,-1.41E+11,1.05E+13,2.77E+13,2.17E+12,1.17E+13,2.11E+14,1.41424E+13,2.85525E+13,1.67E+14,4.14E+13,7.64E+12,TRUE,1131.449707,1319.201172,0.165938851,0,financials,137.7,1322.801556,9.606402004,0.080193237,0.135508187,0.906930693,0.328712871,676.383901,2.362181444,153.5042601,3.457979056,0.047867299,0.015734597
PNLF.JK,3.52E+12,2.63945E+12,1.02E+12,2.15E+12,3216000000,1.99594E+12,2.04E+12,1.98E+12,1.98E+12,2.15E+12,6.88E+11,90690000000,55910386875,1.37E+11,4.32388E+12,1.55E+12,4.52E+12,1.57E+11,-5.84E+11,3.87E+12,4E+12,3.34698E+11,3700000000,6.52784E+11,4.69033E+11,2.95438E+12,5.84044E+12,2.12E+13,-1.72E+11,60354000000,2.36E+13,1.68E+11,2.05E+11,33302000000,3.47E+11,1.66E+12,1.56E+11,1.56E+13,1.4E+11,1.29E+12,3.03E+13,1.41424E+13,2.85525E+13,4.39E+12,2.39E+13,4.19E+12,TRUE,261.7674255,294.9767456,0.126865747,0,financials,61.69,327.5348837,5.309367543,0.082845188,0.135508187,0.225663717,0.438053097,676.383901,2.362181444,153.5042601,3.457979056,0.149174917,0.065346535
POWR.JK,366466500,167627976,222024699,140402976,26872987,27225000,1.74673E+12,113529989,113529989,113529989,161760539,6172298,55910386875,9085704,59945042,-19565659,588491199,33543212,148162108,242661834,282002166,28483457,1.4E+11,6.52784E+11,27225000,42543249,539998068,1.4E+11,-2.13705E+11,74497784,607676829,92627934,3757104,10236922,69513513,4.11629E+11,815103064,247855010,1.4E+11,6845478,1324811462,371974046,55658591,665170172,659641290,-19602707,TRUE,630.932251,759.9336548,0.204461578,0,infrastructures,0.0071,952.7042802,134183.7014,0.172108676,0.132078633,0.377277858,0.192917055,6.157134105,6.683138026,5.821295332,213.0551865,0.444207509,0.085695204
PPRE.JK,3E+12,6.7E+11,8.5E+11,4.54E+11,14557168172,2.16E+11,6.44E+11,3.31E+11,3.31E+11,4.39E+11,7.77E+11,97602185663,55910386875,10849027527,70268794401,-2.26E+11,3.85E+12,1.83E+12,7.5E+11,5.49E+11,1.02E+12,3.34698E+11,1.4E+11,2.47E+11,2.16E+11,90851820025,9.75E+11,5.32163E+12,-1.08E+11,3.33E+12,2.27E+12,1.4E+11,4.52E+11,77440621243,13291050592,4.11629E+11,2.97E+12,6.77E+11,4.27E+11,1.4E+11,7.76E+12,4.54E+12,3.43E+12,4.6E+12,2.52E+12,24483745951,FALSE,296.1800842,228.8535309,-0.227316275,-1,infrastructures,32,346.6770428,10.83365759,0.131349206,0.154734411,0.220779221,0.085974026,3.101851852,1.32361516,1.171720117,0.556349206,0.496134021,0.042654639
