Unnamed: 0,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,researchDevelopment,sellingGeneralAdministrative,totalOperatingExpenses,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,deferredLongTermLiab,goodWill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherCurrentAssets,otherCurrentLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,class,start_price,end_price,percentage_change,binary,sector,dilutedEPS,marketPricePerShare,PE_ratio,ROE,ROCE,grossProfitMargin,netProfitMargin,coverageRatio,currentRatio,quickRatio,debtToEquityRatio,totalAssetTurnover,ROA
BRPT.JK,2370805000,651404000,784851000,481320000,185313000,170084000,2519018000,109115000,109115000,296007000,620619000,16732000,58576637243,91806000,164232000,3155656000,782276000,104889000,1875393000,981373000,168000,15372000,485814000,1087376000,382109000,2885532000,237736000,2519018000,281651000,174867000,603000,19338000,422796000,3092921000,311229000,197813000,721248000,9241551000,3564431000,1132850000,4974476000,1748057000,10607000,FALSE,1087.813729,848.1538086,-0.220313381,-1,basic_materials,0.00117,970.8313151,829770.3548,0.062420733,0.080333952,0.248712471,0.034577597,3.829895816,3.146428035,2.540752968,1.763869828,0.341463895,0.011807001
BSDE.JK,2.91E+12,3.15E+12,4.74E+12,1.55E+12,8165533697,1.61E+12,4.44E+12,1.35E+12,1.35E+12,1.54E+12,2.63E+12,2.22E+11,58576637243,1.03E+12,2.11E+12,7.65E+12,1.15E+12,7.46E+12,7.77E+12,2.12E+12,2.79102E+11,5.49411E+11,9302932297,3.55094E+12,1.19E+13,9.83E+12,6.13E+12,4.44E+12,2.08E+11,2.79E+13,385810000,6.32E+11,-1.24E+11,5.35E+11,2.24E+13,2.15E+12,4.07E+12,6.15E+13,2.84E+13,1.1E+13,2.56E+13,3.15E+13,2.88E+11,FALSE,1225,1010,-0.175510204,0,properties_realestate,64.49,1092.165992,16.93543173,0.042857143,0.062376238,0.619607843,0.176470588,1.956521739,2.581818182,1.095272727,0.38031746,0.124390244,0.02195122
BTPS.JK,1.30155E+13,3.0196E+12,5.60084E+12,1.88E+12,4.12E+11,1.52692E+12,200000000,1.47E+12,1.47E+12,1.47E+12,2.77259E+12,29397000000,58576637243,1.12E+11,1.69E+12,4.28E+12,16847000000,8.46E+11,1.95E+12,7.7E+11,2.79102E+11,5.49411E+11,3.42089E+12,1.29492E+11,3.63374E+12,6.36953E+12,2.19354E+12,200000000,0,6.97E+12,3.77807E+11,1.13808E+12,20916000000,3.77E+11,5.38E+12,3.03652E+12,6.17541E+11,1.85E+13,1.19403E+13,8.04987E+12,1.14E+13,7.09E+12,8941000000,FALSE,3691.077138,3512.188721,-0.048465099,0,financials,190,3321.133603,17.47965054,0.207334274,0.177758381,0.318828081,0.343457944,89.83938243,2.505249649,1.623366447,0.791407598,0.231351351,0.079459459
BULL.JK,137563618,-184067386,41468628,-230898919,19986,46831533,2080524,-227943319,-227943319,-230918905,31994739,1078667,58576637243,4136650,9473889,179032246,37414871,86807827,8038133,278405143,233290,5.49411E+11,33017000,3.59694E+12,7204712,260229982,2.19354E+12,2080524,29787985,76076081,3.77807E+11,1.13808E+12,6.39462E+11,477464286,-271416444,148238284,10277022,601948378,88033866,227855221,490774773,109093081,635282,FALSE,352,238,-0.323863636,-1,energy,-0.0174,290.2348178,-16680.16194,-2.089438825,-0.492036228,0.231626586,-1.273197003,-3.93041556,0.386358784,0.21111274,3.744217894,0.297421262,-0.378675859
BUMI.JK,806476329,504328106,201736646,291061679,67684665,213266427,1127106626,168018153,168018153,223377014,123860015,3964839,58576637243,60733884,77876631,1008212975,171075743,1533839954,220979398,1899106073,167475073,5.49411E+11,48412144,3.59694E+12,30481415,12235580,944304841,1127106626,291861508,-529072083,6606000,100000000,-1010876063,1994993557,-2887436623,1349224660,6.17541E+11,4223787286,775582880,2877190810,3577340599,-480659939,3.08079E+11,FALSE,72,67,-0.069444444,0,energy,0.00227,65.55060729,28876.91951,-0.349557222,0.374520589,0.200093285,0.166649465,2.364779647,0.269562546,1.623366447,-2.832481198,0.238698804,0.039779028
CLEO.JK,6.42E+11,2.44E+11,4.61E+11,2.3E+11,49269953667,13523533819,2.47059E+12,1.81E+11,1.81E+11,1.81E+11,2.62E+11,6948590988,58576637243,94538260271,2E+11,1.1E+12,72188847311,2.44E+11,4761050331,2.4E+11,2.79102E+11,5.49411E+11,3.42089E+12,3.59694E+12,1.22E+11,89755994439,2.19354E+12,2.47059E+12,1.26E+11,1E+12,3.77807E+11,1.13808E+12,6.39462E+11,1.05E+12,5.13E+11,68532333301,6.17541E+11,1.35E+12,2.8E+11,1.83E+11,3.47E+11,1E+12,800248000,FALSE,498.35088,469.0084229,-0.058879112,0,consumer_noncylicals,15,464.3076923,30.95384615,0.181,0.209083119,0.419090909,0.164545455,18.04262135,1.530054645,1.623366447,0.158288328,0.814814815,0.134074074
CPIN.JK,4.4E+13,4.87E+12,7.65E+12,4.63E+12,1.01E+12,2.4E+11,14711000000,3.62E+12,3.62E+12,3.62E+12,4.8E+12,3.73E+11,58576637243,1.15E+12,2.85E+12,5.17E+13,1.57E+12,-43385000000,1.8E+12,1.64E+11,7.63E+11,5.49411E+11,4.45E+11,12417000000,1.16E+13,1.36E+12,2.19354E+12,14711000000,1.79E+12,2.47E+13,3.77807E+11,1.13808E+12,18276000000,1.7E+13,2.5E+13,4.59E+12,6.17541E+11,3.54E+13,1.57E+13,7.84E+12,1.03E+13,2.51E+13,3.08079E+11,FALSE,6280.819805,5831,-0.071618008,0,consumer_noncylicals,221,6418.319838,29.04217121,0.144223108,0.17670537,0.147969052,0.070019342,20.29166667,2.00255102,1.623366447,0.237051793,1.460451977,0.102259887
CTRA.JK,4.89E+12,3.38E+12,4.84E+12,2.14E+12,49149000000,1.24E+12,2.42E+12,1.74E+12,1.74E+12,2.09E+12,3.36E+12,5.57E+11,58576637243,6.1E+11,1.48E+12,9.73E+12,9.39E+11,3.57E+12,7.16E+12,4.64E+12,17038000000,5.49411E+11,3.42089E+12,3.59694E+12,1.16E+13,8.2E+12,9.56E+11,2.42E+12,2.52E+12,1.7E+13,3.77807E+11,1.13808E+12,95468000000,2.97E+12,8.71E+12,1.35E+12,6.17541E+11,4.07E+13,2.19E+13,1.1E+13,2.13E+13,1.7E+13,33348000000,FALSE,955.6281243,955.3189697,-0.000323509,1,properties_realestate,94,1030.647773,10.96433801,0.102352941,0.113804714,0.497430627,0.178828366,2.725806452,1.990909091,1.623366447,0.561764706,0.239066339,0.042751843
DMAS.JK,5.94E+11,7.88E+11,8.47E+11,7.31E+11,16039729640,56849041733,2994375769,7.15E+11,7.15E+11,7.15E+11,7.45E+11,1.21E+11,58576637243,69121276023,1.01E+11,1.44E+12,31346252036,3.8E+11,5.99E+11,4.82E+12,2.79102E+11,5.49411E+11,3.42089E+12,3.59694E+12,2.28E+12,6.36953E+12,99145949652,2994375769,12353488,5.35E+12,610813877,44409029423,6.39462E+11,3.1E+11,1.38E+11,3.03652E+12,1.03E+11,6.11E+12,3.17E+12,7E+11,7.63E+11,5.35E+12,3.08079E+11,FALSE,205.6451997,172.4779358,-0.16128392,0,properties_realestate,14.83,216.1659919,14.57626378,0.13364486,0.145656192,0.588194444,0.496527778,13.86127147,4.528571429,1.002874791,0.791407598,0.235679214,0.117021277
DOID.JK,775685451,56621739,134858912,8018258,7737712,48603481,217,280543,280543,280546,81824765,22522500,58576637243,2.0016E+12,53034147,910544363,252846117,145040748,194341065,47317783,1151980,5.49411E+11,3.42089E+12,3.59694E+12,66939999,733709421,2.19354E+12,217,305788608,265655972,20927428,32649,716967,848681368,70790981,14182260,26164159,1635958307,674011530,474075197,1370302118,265655972,3.08079E+11,FALSE,350,264,-0.245714286,-1,energy,3.00E-05,327.5060729,10916869.1,0.001056039,0.048732733,0.148108008,0.000308105,1.164972916,1.421739703,1.110148422,2.81526395,0.556581643,0.000171485
ELSA.JK,7.49E+12,3.06E+11,6.45E+11,2.03E+11,93868000000,1.03E+11,1609000000,1.09E+11,1.09E+11,1.09E+11,3.39E+11,11350000000,58576637243,70373000000,3.06E+11,8.14E+12,6.71E+11,4.36E+11,1.14E+12,7.3E+11,1.13E+11,5.49411E+11,3.42089E+12,15292000000,3.23E+11,7.19E+11,22366000000,1609000000,2.31E+12,3.76E+12,3.77807E+11,1.13808E+12,6.39462E+11,1.93E+12,2.5E+12,3.12E+11,6.17541E+11,7.23E+12,4.45E+12,2.56E+12,3.46E+12,3.78E+12,3.08079E+11,FALSE,328.6784024,269.3240051,-0.180585024,0,energy,14.9,321.5222672,21.57867565,0.028835979,0.065524625,0.079238329,0.013390663,2.970873786,1.73828125,1.623366447,0.272751323,1.125864454,0.015076072
